,Machine_Learning_jobs,Company,Job_links,Date,Describtion
0,Solution Architect,GIZA Systems,https://www.bayt.com/en/egypt/jobs/solution-architect-4575725/,25 days ago,"We are looking for an innovative solution architect to develop and implement solutions that will meet business needs. As an expert of software solutions you may have more than 12 years of experience in software industry. As an expert of software industry you are capable of understanding, analyzing, representing and designing different aspects of software solutions including technological, business and data prospective. As a solution architect for the software development center in Giza Systems you will be responsible of collaboration with business lines to offer and deliver digital transformation solutions for our customers including modern technologies (i.e. IoT, Big Data, Machine Learning, Block-Chain … etc.). You are required to have good experience of modern software architecture approaches including but not limited to Event Driven, Object Oriented, Service Oriented and Micro-Service architecture approaches. As a solution architect you will be the solution owner and will be technical contact point with both internal and external customers. You need to have proven high communication and presentation skills for this purpose. Responsibilities   Owns the technical proposal write-up for our software solutions and he is accountable for providing a competitive solution that can win our opportunities. Participates in the vendor's assessment and selection with other stakeholders. Participates in customer demonstrations and presentations to discuss and convince the customer by our software solutions and capabilities. Leads the technical and business workshops with the customers for running the projects. Makes business process and business requirements analysis required for delivering the solution Communicates effectively with internal and external stakeholders for clarifying and documenting the solution design. Reviews/audits development team and subcontractor technical documentation and make sure of alignment with project scope and architecture guidelines. Audits the quality of the output artifacts (source code, scripts, configuration file… etc.) by reviewing randomly selected parts. Accountable for technical acceptance of the solution by the customer. Participates in the training activities for the customer. Participates in initiatives R & D. Resolving the technical conflicts between different team members during construction phase by clarifying the scope and architecture and making decisions Coaches project construction teams in learning and practicing new technologies. "
1,Machine Learning Engineer,UNIFONIC,https://www.bayt.com/en/egypt/jobs/machine-learning-engineer-66131682/,29 days ago,"Unifonic is a customer engagement platform that enables organizations to delight customers with remarkable omnichannel experiences. By unifying communication channels, messaging apps, and chatbots, Unifonic streamlines conversations at every touchpoint throughout the customer journey.The Engineering team at Unifonic is looking for a proactive and dynamic Senior Machine Learning Engineer, to join our diverse team of developers. In this role, you’ll be responsible for delivering ML models to serve use cases like NLP, speech tagging and recognition, text classification, Named Entity Recognition, and semantic extraction. The successful candidate should have a strong technical background in Machine Learning with proven hands-on experience delivering similar projects. The responsibilities of the Senior Software Engineer, include, but are not limited to:Ability to fully understand technical requirements, challenge them and produce the most appropriate implementation. Discuss with product managers about product features. Design and implement ML pipelines from ideation to productionAnalyze, process, and interpret data. Build and train ML models along with tools to update/retrain those models which become a part of customer-facing products. Work with other software developers to guarantee Models implementation in productionBe a role model in agile practices.Produce technical documentation for encountered problems and maintain team technical decisions.Requirements:Must-HaveHands-on 5 years of relevant work experience in shipping ML models for NLP, CV, classifiers, and recommenders for large-scale customer-facing projects.Experienced in Python with experience in common data science toolkits, such as NumPy, Pandas, PySpark, Scikit-Learn, Tensorflow, PyTorch, Keras, rasa, BERT, spaCy. Hands-on experience in NLP is mandatory; e.g. Text representation (n-grams, a bag of words, TF-IDF, etc), feature extraction, part of speech tagging and recognition, text classification, Named Entity Recognition (NER), semantic extraction techniques, Machine Translation, slot filling, Sentiment analysis, etc.Bachelor’s degree in a relevant field. (e.g. Computer Science, Computer Engineering, Software, etc).Familiarity with MLOps best practices, e.g. Model deployment and reproducible research.Mastering data science needed skills like SQL, hypothesis testing, Data cleansing, data augmentation, data pre-processing techniques, dimensionality reduction, mathematics, probability, and statistics (e.g. conditional probability, likelihood, Bayes rule, and Bayes nets, Hidden Markov Models, etc.).Excellent understanding of Machine learning techniques like Naive Bayes classifiers, SVM, Decision Tree, KNN, K-means, Random Forest, modeling and optimization, evaluation metrics, classification, and clustering.Familiar with code versioning tools such as GIT, CI/CD concepts, and toolchains.Acquainted with agile methodologies like Scrum, and agile tools like Jira. Nice to haveExperience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.Good knowledge of Deep Learning needed skills like Neural network architectures, fully connected networks, CNNs, LSTMs, and RNNs.Worked on other ML use cases like:Speech Recognition algorithms.Recommender Engines.Anomaly detection.Computer Vision (Face Recognition, OCR, etc).Familiar with managing Linux servers and applications.Familiar with SaaS and PaaS integration architecture and applications."
2,AI/Machine Learning Engineering Lead,UNIFONIC,https://www.bayt.com/en/egypt/jobs/ai-machine-learning-engineering-lead-66153129/,27 days ago,"Unifonic is a customer engagement platform that enables organizations to delight customers with remarkable omnichannel experiences. By unifying communication channels, messaging apps, and chatbots, Unifonic streamlines conversations at every touchpoint throughout the customer journey.AI/Machine Learning Engineering LeadThe Engineering team at Unifonic is looking for a proactive and dynamic Machine Learning Engineering Lead, to join our diverse team of developers. In this role, you’ll be playing an active part in the hands-on process of building Machine Learning models and putting them into production, managing a team, and contributing to production-facing code on a regular basis. The successful candidate should have a strong technical background in order to be a good counsel and advocate for engineering. They should also have excellent team management and leadership skills. The responsibilities of the Machine Learning Engineering Lead, include, but are not limited to:Design and lead the implementation of AI/ML/NLP pipelines from ideation to productionApply best practices for ML datasets selection, processing, and model training and testing.Ensure the delivery of high-performance ML models in production by applying best practices of system design and backend APIs implementation.Support with recruitment & hiring of team talents and facilitate their onboarding.Work with product managers, designers, and engineers to prioritize, plan, and schedule work.Communicate status, risks, and requirements to other groups.Provide technical and non-technical guidance to the team, both individually and as a group.Facilitate continuous learning and improvement for the team and its members.Must-HaveHands-on 10+ years of relevant engineering work experience and 4+ years of hands-on technical management experience in shipping Machine Learning Models and large-scale projects with multiple dependencies across teams.Bachelor’s degree in a related field. (e.g. Computer Science, Computer Engineering, … etc)Expert in Python with experience in common data science toolkits, such as NumPy, Pandas, PySpark, Scikit-Learn, Tensorflow, PyTorch, Keras, rasa, BERT, spaCy. Hands-on experience in NLP is mandatory; e.g. Text representation (n-grams, a bag of words, TF-IDF, etc), feature extraction, part of speech tagging and recognition, text classification, Named Entity Recognition (NER), semantic extraction techniques, Machine Translation, slot filling, Sentiment analysis, etc.Familiarity with MLOps best practices, e.g. Model deployment and reproducible researchMastering data science needed skills like SQL, hypothesis testing, Data cleansing, data augmentation, data pre-processing techniques, dimensionality reduction, mathematics, probability, and statistics (e.g. conditional probability, likelihood, Bayes rule, and Bayes nets, Hidden Markov Models, etc.).Excellent understanding of Machine learning techniques like Naive Bayes classifiers, SVM, Decision Tree, KNN, K-means, Random Forest, modeling and optimization, evaluation metrics, classification, and clustering.Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, etc.Experience with data visualization tools, such as Grafana, Tableau, matplotlib, and seaborn.Proficiency in using query engines and languages such as SQL, Hive, and Pig.Experience with NoSQL databases, such as MongoDB, Cassandra, and Hbase.Solid understanding of fundamental design patterns and principles required for building scalable applications composed of reusable components using Python.Solid experience with full Software Development Lifecycle, Distributed Architectures (REST, SOAP, Queue-based), and Microservices Architecture.Familiarity with famous Python ORM (Object Relational Mapper) librariesAbility to design systems that integrate with multiple data storage solutions including relational databases, key-value stores, and different cloud-based services.Solid understanding and hands-on experience in concurrency patterns, and event-driven architecture.Understanding of fundamental design principles behind a scalable cloud-based application, using containerization and Kubernetes.Strong unit test and debugging skills.Proficient understanding of code versioning tools such as GIT, CI/CD concepts, and toolchains.Experience with the Agile Framework and Project Management tools such as JiraNice to haveExperience building large scale data-driven systems in JavaExperience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.Good knowledge of Deep Learning needed skills like Neural network architectures, fully connected networks, CNNs, LSTMs, and RNNs.Worked on other ML use cases like:Speech Recognition algorithms.Recommender Engines.Anomaly detection.Computer Vision (Face Recognition, OCR, … )Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3Understanding of accessibility and security complianceKnowledge of user authentication and authorization between multiple systems, servers, and environments. (e.g. Basic Auth, SAML, Keys, OAuth, JWT, and Tokens)Practical experience in queuing systems/message brokers like ActiveMQ, RabbitMQ, Kafka, Beanstalk, SQS, etc…Able to create database schemas that represent and support business processes.Practical experience with cache technologies such as Memcached, and Redis.Familiar with managing Linux servers and applications (Nginx, apache2, etc...).Familiar with SaaS and PaaS integration architecture and applications.Experienced with using cloud hosting technologies such as AWS.General knowledge in telecommunications (SMSC, VOIP, SMPP, etc...)."
3,"Senior Software Developer, Machine Learning","Arrow Electronics, Inc",https://www.bayt.com/en/egypt/jobs/senior-software-developer-machine-learning-65730917/,30+ days ago,"Position:Senior Software Developer, Machine LearningJob Description:ResponsibilitiesImplement scalable machine learning and optimization algorithms that will be used in production on big data.Embark on exploratory data analysis projects to achieve better understanding of phenomena as well as to discover untapped areas of growth and optimization.Estimate impact and effort of data science projectsAct as a tech lead for a business areaHelp define and track the appropriate key metrics for specific projects.Design and run randomized controlled experiments, analyze the resulting data and communicate results with other teams.You will always challenge the status quo and continually investigate new data processing technologies and seek to ensure that we follow the industry best practices.Evaluates sales forecast data, which may include forecasts provided by representatives, districts, regions, and the organization as a whole; modifies data by changing business and market conditions.Analyzes data, makes recommendations and comments, and presents forecast to leadership team for business planning and product development.Designing and implementing state-of-the-art algorithmsOptimize the performance of the model inference with better usage of different resources likeImprove scalability, speed and performance of ML models and processes.Run machine learning tests and experiments Perform statistical analysis and fine-tuning using test results. Practical experience with machine learning libraries like scikit-learn, NLTK …Basic knowledge of Linux and bash Good Writing and presentation skillsBuilding web services using Flask is a plusExperience with container networking on Docker is a plus.Experience with application deployment by using CI/CD is a plusQualifications5+ years experience in data mining, predictive modeling, time series analysis, machine learning, big data methodologies, transformation and cleaning of both structured and unstructured data.Experience in applied Deep LearningFamiliarity with Regression, Classification, NLP, Machine VisionStrong problem solving and coding skillsExcellent oral and written communication skills.Proficiency and demonstrated experience in the following: Python, SQL, SparkFamiliarity with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn)Location:EG-Cairo, Egypt (Al Emdad & Al Tamween)Time Type:Full timeJob Category:Information Technology"
4,AI/ML (Artificial Intelligence/Machine Learning) Lead,"Arrow Electronics, Inc",https://www.bayt.com/en/egypt/jobs/ai-ml-artificial-intelligence-machine-learning-lead-65731145/,30+ days ago,"Position:AI/ML (Artificial Intelligence/Machine Learning) LeadJob Description:Job descriptionLead, mentor, and advise the ML team members.Identify the most effective architectures and models to solve complex data problems.Research and implement appropriate ML algorithms and tools using deep learning and artificial neural networks.Designing AI/ML pipelines.Extend existing ML libraries and frameworks.The document, summarize and present findings to a group of peers and stakeholders across multiple projects.RequirementsBachelor’s degree in Statistics, Computer Science, or in an Engineering or Sciences discipline or related degreeAt least 5 years experience in analytics, data science, ML EngineeringAt least 1-2 years of experience leading, mentoring, and developing either Machine Learning, Data Science, or Analytics practitioners.Experience with building and deploying a range of deep learning models into production Experience with Cloud Services - Amazon Web Services (AWS)Highly proficient in ML and Deep learning algorithms with a hands-on project.Strong experience working with big data tools: Hadoop, Spark, Kafka, etc.Extensive Python experience required.Experience with Agile tools like Jira.Able to communicate technical issues with technical & non-technical stakeholders.Ability to quickly prototype ideas and solve complex problems by adapting creative approaches,Location:EG-Cairo, Egypt (Al Emdad & Al Tamween)Time Type:Full timeJob Category:Information Technology"
5,Research Interdisciplinary,U.S. Army,https://www.bayt.com/en/egypt/jobs/research-interdisciplinary-66362975/,18 hours ago," Research InterdisciplinaryDepartment of the Army Geospatial Research Laboratory ( GRL) COVID-19 Vaccination RequirementThe COVID-19 vaccination requirement for federal employees pursuant to Executive Order 14043 does not currently apply. Some jobs, however, may be subject to agency- or job-specific vaccination requirements, so please review the job announcement for details. for more information. SummaryThis position is with the U.S. Army Engineer Research and Development Center (ERDC), Geospatial Research Laboratory ( GRL) The US Army Engineer Research and Development Center (ERDC) is one of the most diverse engineering and scientific research organizations in the world. Website: Alexandria, VA is the duty location for this position and is the preferred duty location. Alternate duty location MAY be negotiated. Salary$36,118 - $144,976 per year Salary posted is for the Rest of US locality and will be adjusted to the locality of selectee's physical duty location.Location1 vacancy in the following location:+ Anywhere in the U.S. (remote job) Duties Apply expertise to develop new concepts, methods, and technologies, formulate plans, and conduct research and experimentation in geospatial, geostatistical-analysis, analysis and development of computational systems. Discuss project goals, equipment requirements, or methodologies with colleagues or team members. Attend meetings or seminars or read current literature to maintain knowledge; Attend conferences or workshops to maintain professional knowledge. Provide expertise in remote sensing, programming, software architect, machine and deep learning, and/or lidar. Prepare or deliver reports or presentations of geospatial project information. Prepare scientific or technical reports or presentations; Review professional literature to maintain professional knowledge. Implement use-cases for prototype technology. Design and complete research and development projects. Apply expertise in remote sensing, programming, software architect, machine and deep learning, and lidar. Programming using Python, IDL and R and developing ESRI ArcMap/ArcGIS Pro tools, particularly Python Toolboxes; ESRI (ArcMap, Pro) software product design, maturation and testing (finished products); Robot Operating System (ROS), etc. Apply lidar knowledge, 3D point cloud acquisition and processing from both lidar and passive point clouds; GPS data processing for autonomous navigation; Unmanned Aerial System operation; Integration of emerging sensors. Remote Sensing to analyze data acquired from aircraft, satellites, or ground-based platforms, using statistical analysis software, image analysis software, or Geographic Information Systems (GIS). Analyze geographical data and process aerial or satellite imagery to create products such as land cover maps. Conduct research into the application or enhancement of remote sensing technology; Evaluate new technologies or methods; Develop software or applications for scientific or technical use. Participate in field work. Develop new analytical techniques or sensor systems. Develop automated routines to correct for the presence of image distorting artifacts, such as ground vegetation. Machine learning, particularly with deep learning and applications in remote sensing data. Implement artificial intelligence and machine learning methods in geospatial applications. Design, develop and execute software solutions to address geospatial challenge problem areas. Evaluate and recommend tools, technologies and processes to ensure the highest quality end-products. Interpret mission requirements to address the business application needs of the organization. Perform other duties as assigned.Requirements Conditions of Employment Appointment may be subject to a suitability or fitness determination, as determined by a completed background investigation. This position requires the incumbent be able to obtain and maintain a determination of eligibility for a Top Secret/SCI security clearance or access for the duration of employment. This position is covered by the Civilian Drug Abuse Testing Program and is subject to pre-employment and random Drug Testing. This position requires a Financial Disclosure Statement OGE Form 450. QualificationsWho May Apply: Only applicants who meet one of the employment authority categories below are eligible to apply for this job. You will be asked to identify which category or categories you meet, and to provide documents which prove you meet the category or categories you selected. See for an extensive list of document requirements for all employment authorities. In order to qualify, you must meet the education and experience requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is . For 1560 Series: For 0801Series: For the 0150 Series: For the 1301 Series: For the 1520 Series: For the 1550 Series: In addition to meeting the basic requirement above, to qualify for this position you must also meet the qualification requirements listed below: To qualify at the DB-02 (GS-5-11) level you must meet the basic education requirement. To qualify at the DB-04 (GS-12-14) grade level in addition to the Basic Education requirement you must also have one year of Specialized Experience: One year of specialized experience which includes experience in 1) Research and Development of advanced technology and scientific investigation; 2) Writing proposals and obtaining funding to conduct research and development aimed at developing technology-enabled solutions for customers; 3) Managing customer-focused Research and Development (R&D) programs in order to develop solutions aligned with mission requirements; and 4) Provide expertise in remote sensing, programming, software architect, machine and deep learning, and/or lidar. This definition of specialized experience is typical of work performed at the next lower grade/level position in the federal service DB-02 (GS-11). OR Education: Ph.D. or equivalent doctoral degree in a field which demonstrates the knowledge, skills, and abilities necessary to do the work of the position, such as: Data Scientist, Geographer, General Engineer, Physical Scientist, Mathematician, and/or Computer Scientist OR Combination of Education and Experience: A combination of education and experience may be used to qualify for this position as long as the computed percentage of the requirements is at least 100%. To compute the percentage of the requirements, divide your total months of experience by 12. Then divide the total number of completed graduate semester hours (or equivalent) beyond the second year (total graduate semester hours minus 36) by 18. Add the two percentages. You will be evaluated on the basis of your level of competency in the following areas: All qualification requirements, including time after competitive appointment, must be met by the closing date of this announcement. This position is covered by the Science and Technology Laboratory Personnel Management Demonstration Project at the DB-XXXX-02 (equivalent to GS-05 to 11) target to the DB-XXXX-04 (equivalent to GS-12 to 14) level. If selected at the DB-XXXX-02 level, you have the potential to be non-competitively promoted to the DB-XXXX-04 level based on successful performance in the position. In accordance"
6,AI Engineer,PaxeraHealth,https://www.bayt.com/en/egypt/jobs/ai-engineer-66354049/,Yesterday," PaxeraHealth is one of the best and brightest medical solutions companies to work for. We develop technologies that help manage millions of medical images every year. We’re actively involved in shaping the industry and transforming technologies so radiologists and clinicians have what they need.The AI Engineer is responsible for understanding the medical imaging business problems, identifying/applying the right AI or cognitive computing technologies. In addition to being involved in the formulation and execution of technology solutions.RESPONSIBILITIES:Develops required machine learning models or prototype applications, applying formulated AI recipes and verifying the problem/solution fit.Understands the challenges in medical imaging and using state of the art solutions in AI and DL.Participates in building new experiences, improves existing products, ensures quality assurance test designs and contributes to test systems architecture discussions.Works alongside leading innovators in the field of deep learning and health care, plays a critical role in algorithm development.Analyzes and evaluates data and builds deep networks to detect or predict features, while effectively balancing quality, availability, timeliness and cost factors.Job Requirements2-3 years of AI/ML experience with a degree in a quantitative fields like Computer Science, data science, Engineering or related field required, with a significant focus on deep learning.BA/BS degree in computer science or related discipline is required, MS degree is preferred.Good command of the English language required (spoken and written).Required SkillsStrong background in machine learning and parallel processing pipelines, with significant experience in image processing.Experience in working with large datasets and relational databases (SQL)Experience with deep learning frameworks like TensorFlow, Caffe, Torch, Theano; projects on computer vision are a strong plus.An intuitive sense of how to architect high-performance distributed computing systems for machine learning & tie them to business problems.Powered by JazzHR0ipJZSFIRs "
7,Research Software Development Engineer,EgyGamer LLC.,https://www.bayt.com/en/egypt/jobs/research-software-development-engineer-66347667/,Yesterday,"Research Software Development En...- Maadi, CairoResearch Software Development Engineer- Maadi, CairoPosted 47 minutes ago 1 open position Be the First to Apply Experience Needed: 2 to 4 years Education Level: Bachelor's Degree Job DetailsCareer Level: Experienced (Non-Manager) Salary: Confidential Job Categories: Skills And Tools:Job DescriptionTensorGraph AI is looking for ""Research Software Development Engineer L2"" who has strong analytical and programming skills, passionate about technology, highly motivated to make an impact, eager to learn and grow, and can develop quick prototypes as well as integration of large complex systems and handling large volumes of data.Our work environment offers opportunities to conduct applied research, to incubate innovative ideas and technologies, to grow in-depth expertise and to interact with the top experts in the field.The passionate candidate will be in charge of the following: Designing, coding and releasing complex software components Collaborate with scientists to integrate successful experiments into large scale, highly complex production services. Build complex systems that turn machine/deep learning and AI research into commercial products for our customers. Development of machine learning experimentation pipelines and contribute to model development and AI progression (investigation, research, analysis and experimentation). Rapidly design and conduct large scale experiments in a high-ambiguity environment, making use of both quantitative and qualitative judgments. Interact with security engineers and related domain experts to dive deep into the types of challenges that we need innovative solutions for Data ingestion from multiple sources, data organization, preprocessing, cleansing Effective data storage, migration and unification Deployment of services on the cloud and subsequent support and maintenanceJob Requirements Bachelor's degree in Computer Science or a related field required. 2 to 4 years of hands-on experience. Top notch investigation skills Experience in Machine Learning (Must) and computer vision would be a (plus). Software development experience using both native (C++) and managed (C#) programming (Plus) Proficiency with one high level managed programming languages such as NodeJs, C# or JavaEE.. Proficiency with scripting languages such as Windows PowerShell, Perl, Python, etc (Plus) Experience with cloud computing environments, specifically Aws. (Plus) Technical competence (algorithms, data structures) and strong analytical and programming skills. Good tolerance for ambiguity and uncertainty. Good communication skills and cross-organizational interactions. Very good communication skills Problem-solving skills Adaptability and flexibility Accuracy and attention to details Excellent organizational skills Time and stress management skills Ability to learn new concepts Ability to think analytically Leadership and decision-making skills Self-motivation"
8,"Senior Analyst / Associate Manager- Strategic Partnership (Bangkok based, relocation provided)",Agoda,https://www.bayt.com/en/egypt/jobs/senior-analyst-associate-manager-strategic-partnership-bangkok-based-relocation-provided-66352902/,Yesterday," About AgodaAgoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 4,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.Key Areas of Focus:In this role, you’ll get to: Strategy: Conduct analyses to identify growth opportunities and prioritize investment areas in APAC for Strategic Partnerships team based on analytical insights, industry trends, and changing competitive landscape.Analytics: Leverage data & tools to analyze SP performance and identify appropriate levers to improve performance.Cross-functional projects: Work with different teams inside SP (B2B, White Label, Affiliates, Financial Institutions, different markets across APAC, etc.) and outside of SP (product, marketing, supply, finance, etc.) to drive initiatives.Performance management: Maintain and optimize a performance management system for the department, including a large team of account managersData & tools: Oversee SP data infrastructure to ensure data accuracy, completeness, and timeliness. Design, manage, and oversee the maintenance of data tools to support decision making.Performance reporting: Preparing updates on business performance, proposals, and recommendations to senior management.Pricing Experiments: Optimize pricing strategy and make decisions based on A/B experiments.What you’ll Need to Succeed: Minimum of 3-5 years of total experience with Consulting, Data Analytics, Strategy, Business Development, Business Intelligence, or other relevant fields Proven ability to leverage analytics and quantitative methods to break down ambiguous problems and come up with recommendations Growth mindset and excited to work on a variety of functional areasEntrepreneurial and not afraid to be hands-on on the work Experience working in a fast-paced and high growth environment Excellent communication skills (both verbal and written in English) with ability to work well across multiple stakeholders It’s Great if you have:  Ability to write in SQL a plus, or willingness to learn Ability to use Tableau a plus, or willingness to learn Bachelor’s degree in Statistics, Computer Science, Economics, Mathematics a plus Key Areas of Focus:In this role, you’ll get to: Strategy: Conduct analyses to identify growth opportunities and prioritize investment areas in APAC for Strategic Partnerships team based on analytical insights, industry trends, and changing competitive landscape.Analytics: Leverage data & tools to analyze SP performance and identify appropriate levers to improve performance.Cross-functional projects: Work with different teams inside SP (B2B, White Label, Affiliates, Financial Institutions, different markets across APAC, etc.) and outside of SP (product, marketing, supply, finance, etc.) to drive initiatives.Performance management: Maintain and optimize a performance management system for the department, including a large team of account managersData & tools: Oversee SP data infrastructure to ensure data accuracy, completeness, and timeliness. Design, manage, and oversee the maintenance of data tools to support decision making.Performance reporting: Preparing updates on business performance, proposals, and recommendations to senior management.Pricing Experiments: Optimize pricing strategy and make decisions based on A/B experiments.What you’ll Need to Succeed: Minimum of 3-5 years of total experience with Consulting, Data Analytics, Strategy, Business Development, Business Intelligence, or other relevant fields Proven ability to leverage analytics and quantitative methods to break down ambiguous problems and come up with recommendations Growth mindset and excited to work on a variety of functional areasEntrepreneurial and not afraid to be hands-on on the work Experience working in a fast-paced and high growth environment Excellent communication skills (both verbal and written in English) with ability to work well across multiple stakeholders It’s Great if you have:  Ability to write in SQL a plus, or willingness to learn Ability to use Tableau a plus, or willingness to learn  Bachelor’s degree in Statistics, Computer Science, Economics, Mathematics a plus #STRA#ANLS#MRKT#3 #sanfrancisco #sanjose #losangeles #sandiego #oakland #denver #miami #orlando #atlanta #chicago #boston #detroit #newyork #portland #philadelphia #dallas #houston #austin #seattle #washdc #tirana #yerevan #sydney #melbourne #perth #vienna #graz #linz #baku #minsk #brussels #antwerp #ghent #charleroi #liege #saopaolo #sofia #toronto #vancouver #montreal #shanghai #beijing #shenzhen #zagreb #cyprus #prague #Brno #Ostrava #copenhagen #cairo #alexandria #giza #estonia #helsinki #paris #nice #marseille #rouen #lyon #toulouse #tbilisi #berlin #munich #hamburg #stuttgart #cologne #frankfurt #dusseldorf #dortmund #essen #Bremen #leipzig #dresden #hanover #nuremberg #athens #hongkong #budapest #bangalore #newdelhi #jakarta #bali #bandung #dublin #telaviv #milan #rome #naples #turin #palermo #venice #bologna #florence #tokyo #osaka #yokohama #nagoya #okinawa #fukuoka #sapporo #amman #irbid #riga #beirut #tripoli #vilnius #luxembourg #kualalumpur #malta #chisinau #amsterdam #oslo #jerusalem #manila #warsaw #krakow #sintra #lisbon #porto #braga #cascais #loures #amadora #almada #doha #alrayyan #bucharest #moscow #saintpetersburg #riyadh #jeddah #mecca #medina #belgrade #singapore #bratislava #capetown #johannesburg #seoul #barcelona #madrid #valencia #seville #bilbao #malaga #oviedo #alicante #laspalmas #zaragozbanga #stockholm #zurich #geneva #basel #taipei #tainan #taichung #kaohsiung #Phuket #bangkok #istanbul #ankara #izmir #dubai #abudhabi #sharjah #london #manchester #liverpool #edinburgh #kiev #hcmc #hanoi #sanaa #taiz #aden #gibraltar #marrakech #lodz #wroclaw #poznan #Gdansk #szczecin #bydgoszcz #lublin #katowice #rio #salvador #fortaleza #brasilia #belo #belem #manaus #curitiba #portoalegre #saoluis data representation data analysis SQL data analytics analytics python (programming language) data mining data science r (programming language) tableau analytical skills data visualization databases business analysis business intelligence (bi) microsoft sql server machine learning statistics microsoft power bi java finance shopee traveloka google facebook ctrip trip.com makemytrip grab amazon pandas (software) artificial intelligence (ai) information technology capital one accenture upwork deloitte mckinsey bain microsoft uber lyft gojek lazada alibaba shopify expedia skyscannerEqual Opportunity Employer At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes."
9,Algorithm Development System Engineer,VOYɅNCE,https://www.bayt.com/en/egypt/jobs/algorithm-development-system-engineer-66353287/,Yesterday," About the jobVoyance is a healthcare software company based in Irvine, California. The company was founded in 2016 and received FDA approval in 2018. Currently, we have over 3,000 healthcare facilities - including federal organizations - in the US using our software products. Our mission is to accelerate innovation and create value in the medical imaging industry.Voyance seeks to hire exceptional Computer Vision and Machine Learning Engineers to help us define and build the healthcare industry's future. We are hiring Computer Vision and Machine Learning software engineers to work in our Cairo office located in Cairo Festival City, New Cairo.Join one of the fastest-growing medical imaging companies and create world-class software with the best, brightest, and most creative workforce in the healthcare industry.QualificationsPossess a BS in engineering, mathematics, applied mathematics, physics, or related technical field.Have relevant experience applying signal processing techniques to time series dataStrong Mathematical background.Are proficient in MATLAB, Python, or similar programming languages for algorithm development or data analysis.Demonstrate strong communication and interpersonal skills. Are comfortable writing and presenting about technical topics to peers, managers, and government sponsors.You 'll go above and beyond our minimum requirements if you...Possess a MS or PhD in engineering, mathematics, applied mathematics, physics, or related technical field.Have experience applying signal processing, machine learning, or artificial intelligence techniques to Medical images.Have experience with advanced signal processing techniques.Have experience in technical task leadership.Have exceptional troubleshooting, debugging, and problem-solving skills.Self-starter mentality with excellent communication skills.Pay attention to details."
